node_id,longitude,latitude,connected_nodes,travel_times
30341004,-99.142872,19.4234476,"['268861657', '268862648']","[7.9, 7.2]"
268861657,-99.1426276,19.4244081,"['30341004', '268862196', '30341005']","[7.9, 8.4, 2.0]"
30341005,-99.1425647,19.4246556,"['268861657', '268500467', '268615854', '268511173']","[2.0, 1.2, 19.7, 6.0]"
268500467,-99.1425258,19.4248083,"['30341005', '269958002', '268615855', '268511172']","[1.2, 4.9, 19.6, 6.0]"
268615854,-99.1397636,19.4243142,"['30341005', '856460893', '268861551', '268615855']","[19.7, 25.8, 9.3, 2.0]"
30341007,-99.1419962,19.4269327,"['268510356', '269832531', '268509739', '268615856']","[6.7, 8.3, 2.7, 18.5]"
268510356,-99.1429544,19.4269307,"['30341007', '269831728', '268509736', '269832530']","[6.7, 1.9, 1.3, 11.0]"
269832531,-99.1418029,19.4279544,"['30341007', '30341009', '269832530']","[8.3, 8.7, 8.9]"
30341009,-99.1416447,19.4290313,"['269832531', '269834077', '269965177', '269957263']","[8.7, 9.0, 4.4, 15.0]"
269834077,-99.1426353,19.4291814,"['30341009', '269832530', '269833704', '269833646']","[9.0, 10.7, 2.5, 6.5]"
269965177,-99.1415692,19.429572,"['30341009', '269965352', '269833647']","[4.4, 14.8, 1.4]"
30341010,-99.1414639,19.4303272,"['269957262', '30341011', '269957262', '269826155', '269833647']","[14.6, 6.9, 14.6, 9.1, 4.7]"
269957262,-99.1398632,19.4300912,"['30341010', '269965352', '269957015', '30341010', '269957015']","[14.6, 5.1, 8.9, 14.6, 8.9]"
30341011,-99.1413268,19.4311798,"['30341010', '269830435', '30341012', '269956911']","[6.9, 9.2, 6.7, 23.8]"
269830435,-99.1423295,19.4313547,"['30341011', '269831981', '269826155', '269826675']","[9.2, 2.4, 8.8, 7.6]"
30341012,-99.1412023,19.4320048,"['30341011', '3772750754', '30341013', '269826675']","[6.7, 23.9, 6.5, 9.1]"
3772750754,-99.1385719,19.4316592,"['30341012', '30594812', '269956911', '268615862']","[23.9, 18.3, 11.4, 11.1]"
30341013,-99.1410809,19.4328086,"['30341012', '269830124', '2434287917', '268615862']","[6.5, 9.0, 11.6, 23.7]"
269830124,-99.1420662,19.4329629,"['30341013', '269826675', '269832327', '268511171']","[9.0, 7.9, 8.1, 14.0]"
2434287917,-99.1408512,19.4342374,"['30341013', '2180585469', '268511171']","[11.6, 4.6, 9.2]"
30594728,-99.1482592,19.4301907,"['269833246', '269826154', '1385809414', '2549963671']","[5.6, 10.4, 1.0, 5.2]"
269833246,-99.1476395,19.4301102,"['30594728', '3772750753', '269833193', '4789068294', '4789068294', '269833193']","[5.6, 7.4, 5.3, 10.7, 10.7, 5.3]"
269826154,-99.1480303,19.4312624,"['30594728', '269831116', '269820951', '1385809418']","[10.4, 13.0, 8.9, 0.9]"
30594812,-99.136564,19.4313606,"['3772750754', '30956904', '7982089638', '269956910']","[18.3, 9.5, 10.8, 11.3]"
30956904,-99.1355236,19.4312161,"['30594812', '268639104', '268622218']","[9.5, 9.4, 8.5]"
7982089638,-99.1364421,19.4321585,"['30594812', '7982089639', '268621340']","[10.8, 0.9, 0.9]"
268639104,-99.1344924,19.4310729,"['30956904', '269956909']","[9.4, 8.1]"
268487335,-99.1479273,19.4238306,"['1446021091', '848492634']","[10.5, 14.7]"
1446021091,-99.1467589,19.4237421,"['268487335', '8231142769', '8082348370', '8231142770']","[10.5, 0.7, 6.1, 1.0]"
848492634,-99.1474555,19.425305,"['268487335', '268487336', '268497077']","[14.7, 1.4, 6.9]"
268487336,-99.1474154,19.4254475,"['848492634', '2461446832', '268500468']","[1.4, 16.8, 6.8]"
2461446832,-99.1474292,19.4271907,"['268487336', '8078739973', '6148209279']","[16.8, 2.2, 2.1]"
268500468,-99.1464494,19.4253214,"['268487336', '268497077', '5838396932', '268509735', '268497077', '268509735']","[6.8, 1.4, 11.9, 17.3, 1.4, 17.3]"
